title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Backend-разработчик (junior),400000 - 500000 KZT,Алматы,kense.app,18-11-2025 05:51:22,"C#, .NET Core (6/7/8), ASP.NET Core Web API. Опыт работы с асинхронностью (async/await, Task, CancellationToken). ","Разрабатывать и поддерживать REST API на ASP.NET Core (.NET 6/7/8). Проектировать и оптимизировать работу с данными (PostgreSQL, Entity...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127806508
Backend-разработчик,300000 KZT,Алматы,Хасанов (World of VR),19-11-2025 13:10:54,"Проект: AI-ассистент (Unity + AI + Web Admin). Формат: удалённо, part-time или full-time. Уровень: Middle / Strong Junior. ","голосовые запросы. <highlighttext>Разработка</highlighttext> и поддержка REST API (Node.js + Express). Создание эндпоинтов, которые вызываются из Unity-клиента. <highlighttext>Разработка</highlighttext> <highlighttext>backend</highlighttext>-логики...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127871010
AI-специалист (Generative AI + Backend),,Астана,ForteBank,18-11-2025 13:49:58,"Опыт <highlighttext>backend</highlighttext>-<highlighttext>разработки</highlighttext> на Python (FastAPI, Celery, Redis). Знания генеративных моделей (GPT, BERT, LLaMA и др.). Опыт интеграции LLM через...",<highlighttext>Разработка</highlighttext> и интеграция AI-решений в бизнес-процессы. Создание <highlighttext>backend</highlighttext>-сервисов на Python для взаимодействия с AI-моделями. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127830747
Junior разработчик Управления back-end разработки,,Алматы,Страховая компания Alatau City Garant,14-11-2025 12:29:44,"Высшее образование. Аналитический склад ума, умение погружаться в предметную область и бизнес процессы. Знания платформы .Net C#. Опыт работы с...",Внесение точечных исправлений под контролем более опытных <highlighttext>разработчиков</highlighttext>: мелкие баги; несложные SQL-правки; корректировка конфигурации; исправление ошибок в обработке данных. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127708013
Senior GO backend developer,3000 - 5000 USD,Астана,INXY.COM,20-11-2025 11:25:43,"Навык написания чистого кода и умение использовать современные принципы <highlighttext>разработки</highlighttext>: KISS, DRY, S.O.L.I.D, YAGNI. ",,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127908947
Backend GO Developer,400000 KZT,Алматы,PingOcean (ПингОушен),16-11-2025 08:53:26,Опыт работы с Git. Опыт написания кода на golang. Аналитическое мышление. Знание PostgreSQL. Опыт работы с Linux. Ci/cd. ,"Оптимизировать работу сервисов и запросов. Разрабатывать новые функции API, алгоритмы, процессы, системы. Развивать административную часть проекта.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127747023
Backend-разработчик,,Астана,BInTech,17-11-2025 12:01:06,"Kubernetes, Maven/Gradle, JUnit, SVN. Hibernate и другие ORM. Опыт работы от 3 до 6 лет. Уверенные знания Java и...",Участвовать в тестировании и поддержке решений. Анализ и проектирование архитектуры. <highlighttext>Разработка</highlighttext> и оптимизация сервисов. Тестирование и поддержка решений. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127774836
Python Engineer / Backend & Automation,2500 - 3000 EUR,Алматы,Job Recruitment,19-11-2025 06:48:03,"Глубокий опыт <highlighttext>разработки</highlighttext> на Python (не менее 5 лет). Django или FastAPI, опыт асинхронности — плюс. RabbitMQ + Celery, микросервисная архитектура. ","Контейнеризация и оркестрация (Docker, Kubernetes, Helm). Настройка логирования, мониторинга, CI/CD-процессов. Проектирование архитектуры и оптимизация сервисов. <highlighttext>Разработка</highlighttext> внутренних инструментов...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127850664
Middle / Senior Back-End разработчик (Rust / Go),500000 - 600000 KZT,Астана,"QI TECH LTD., CHK",19-11-2025 17:46:11,"Опыт интеграций с iiko, rKeeper, Poster. Опыт <highlighttext>разработки</highlighttext> аналитических сервисов. Навыки работы с C#. Опыт работы с AI-модулями (или...","Работа с модулями HoReCa: склад, инвентаризация, техкарты, ревизии. <highlighttext>Разработка</highlighttext> аналитических представлений данных: отчёты, агрегации, дашборды. Участие в создании AI-модулей...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127889749
Backend-разработчик,,Алматы,Travel Store Kazakhstan,20-11-2025 18:17:47,Опыт коммерческой <highlighttext>разработки</highlighttext> <highlighttext>backend</highlighttext> от 3 лет. Опыт интеграции любой travel-системы: Amadeus / Sabre / Galileo / Travelport / NDC / Duffel / Kiwi / MixVel...,MixVel / ТКП / NDC (лоукостеры и российские перевозчики). Проектирование архитектуры <highlighttext>backend</highlighttext>-сервисов (микросервисы / модульная структура). <highlighttext>Разработка</highlighttext> REST API для фронтенда. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127929245
