title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Junior/Middle Data Analyst (Команда Dialer),,Алматы,Kaspi.kz,19-11-2025 15:03:38,"Excel, Power Point. SQL. Статистика. Базовые знания классического ML.","Анализировать и выявлять потребности бизнес-процессов, улучшать / оптимизировать их. Внедрять А/Б тесты, замерять и масштабировать их. Строить прогнозные модели...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127878583
Data аналитик,,Алматы,"Beeline, ТМ",20-11-2025 09:41:28,"Уверенное владение Google Analytics 4, GTM, BigQuery, SQL, Excel/Sheets. Опыт работы с BI-системами (Power BI, Looker Studio, Tableau...",Разработка единой системы метрик и KPI для цифровых продуктов. Поддержка документации по трекингу и <highlighttext>аналитике</highlighttext>. Обучение и менторинг младших <highlighttext>аналитиков</highlighttext>...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127902029
Data Analyst в BI Education,,Астана,BI Group,17-11-2025 08:55:14,"Внимательность, логическое мышление, ответственность за качество данных. Интерес к сфере образования и <highlighttext>аналитике</highlighttext> данных. Будет преимуществом. Знание Python (pandas, numpy...","Самостоятельный сбор данных из разных источников: внутренние системы, базы данных, CRM, API, Excel и Google Sheets. Настройка и поддержка автоматизированного...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127759893
Data Engineer Направление разработки и сопровождения баз данных,,Алматы,Банк ЦентрКредит,18-11-2025 06:48:57,,Разработка и оптимизация SQL-запросов для извлечения и анализа данных. Сотрудничество с командами <highlighttext>аналитиков</highlighttext> и разработчиков для определения требований к...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127807593
Data Engineer,,Алматы,Учреждение SDU University,19-11-2025 11:57:16,,"Дереккөздерді талдау және интеграция стратегияларын әзірлеу. ETL-процестерін (деректерді алу, түрлендіру, жүктеу) жобалау және іске асыру. Статистика, математика, информатика, деректер...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127866444
Data analyst,,Алматы,Grand era,19-11-2025 16:17:36,"Опыт работы в <highlighttext>аналитике</highlighttext> данных: не менее 1 года в роли дата-<highlighttext>аналитика</highlighttext> или на аналогичной позиции, связанной с обработкой...","...в интерактивных дэшбордах с использованием BI-инструментов. Отработка запросов на <highlighttext>аналитику</highlighttext>: оперативный сбор, обработка и предоставление аналитических данных по запросам...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127884913
Data-аналитик,500000 - 800000 KZT,Алматы,BP Contact,17-11-2025 10:24:37,"Уверенное владение SQL (написание сложных запросов). Опыт работы с BI-инструментами (Power BI, Tableau, Looker). Навыки работы с Python. ","Сбор, очистка и анализ данных по продуктам. Настройка и поддержка системы продуктовой <highlighttext>аналитики</highlighttext> (метрики использования, воронки, NPS, retention, эффективность сценариев). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127766859
Директор по данным / CDO / Chief Data Officer,,Алматы,Grand era,19-11-2025 14:41:49,"Опыт построения и внедрения систем бизнес-<highlighttext>аналитики</highlighttext> (BI), Data Governance и работы с большими данными. Опыт работы с современными стеками...","Построение единого дерева метрик и стандартизация KPI. Поддержка стратегических решений бизнеса через <highlighttext>аналитику</highlighttext>, включая оптимизацию процессов, снижение издержек и управление...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127876963
Data Analyst-моделист,,Алматы,Народный банк Казахстана,17-11-2025 16:41:29,"Опыт работы в рисках. Умение работать с данными – загрузка, препроцессинг, обучение ML моделей. Обязательное знание языка программирования Python и библиотек...","Выстраивать систему управления кредитными рисками по цифровым гарантиям. Разрабатывать и внедрять риск модели/правила. Анализировать данные клиентов, строить отчеты и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127796733
Senior Data Engineer,,Алматы,Tekmates,20-11-2025 10:50:09,"3+ лет опыта работы с Big Data стеком (обязательно). Глубокие знания: S3, Iceberg, Trino, Spark, Kafka/Debezium. ","Участвовать в планировании платформенных инициатив, проводить код-ревью, документировать решения. Работать с командами Data, <highlighttext>аналитики</highlighttext>, продуктовых и инфраструктурных инженеров.","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127906618
