title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Data Scientist,,Астана,Mechta.kz TM ( ТОО Мечта Маркет ),18-11-2025 07:33:20,"У тебя 2 года опыта работы с LLM-моделями, и ты готов применять свои знания в создании реальных продуктивных решений. ","Работа с LLM и ML — исследование, адаптация и fine-tuning open-source языковых моделей (LLaMA, Mistral, Falcon и др.) под...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127808653
Senior Data Engineer,1800000 - 1800000 KZT,Астана,Национальные информационные технологии,24-10-2025 12:57:44,"Опыт работы от 3 до 5 лет в роли Data Engineer, ETL-разработчика или аналогичной позиции. Отличное знание SQL и...","Настраивать автоматизацию и CI/CD для пайплайнов. Взаимодействовать с аналитиками, разработчиками и Data <highlighttext>Scientists</highlighttext>. Участвовать в проектировании архитектуры корпоративных данных...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126911360
Аналитик / Data Scientist,,Алматы,«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,17-11-2025 07:01:43,"Уверенный опыт работы с Python (pandas, scikit-learn и др.). Знание SQL и умение работать с базами данных. ",Разрабатывать и запускать MVP-решения на базе AI: от идеи до работающего прототипа. Использовать машинное обучение и NLP для анализа...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/124494348
Data Scientist (NLP),,Алматы,"Beeline, ТМ",28-10-2025 11:00:13,"Опыт в NLP и глубоком обучении. Знание Python, PyTorch/TensorFlow, Git, Docker, SQL. Навыки back-end разработки приветствуются. ",Разработка и оптимизация NLP моделей под конкретные задачи. Работа с командой для быстрого генерирования и тестирования гипотез. Файн-тюнинг и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127048330
Data scientist,,Алматы,Страховая компания Freedom Insurance,18-11-2025 15:24:50,"Высшее образование в области: математика, прикладная физика, ИТ. Опыт анализа больших массивов структурированных и неструктурированных данных. Опыт построения моделей и...","Сбор, обработка, анализ и интерпретация больших данных. Строить и совершенствовать модели машинного обучения (LGBM, XGBoost). Разрабатывать и оптимизировать систему автоматизированного...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127599457
Эксперт Data Scientist в Центр искусственного интеллекта,,Алматы,Народный банк Казахстана,17-11-2025 16:30:33,"Уверенное владение Python и библиотеками для анализа данных (NumPy, Pandas, Scikit-learn). Опыт работы с SQL и оптимизации запросов к...","Проводить сбор, хранение и анализ информации о клиентах/продуктах/сервисах/услугах Банка, а также операциях по счетам/продуктам. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127796199
Data Scientist (Алгоритмическая торговля),,Алматы,Публичная Компания «Freedom Finance Global PLC»,22-10-2025 12:45:16,"Опыт работы 2+ лет в анализе данных, алгоритмической торговле или смежных областях (подтвержденный успешными проектами). Глубокие знания в: Анализе...",Анализировать структурированные и неструктурированные данные для построения и тренировки моделей машинного обучения. Выполнять feature engineering: создавать и оптимизировать признаки для...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126819480
Data Scientist в департамент кредитных рисков,,Алматы,Народный банк Казахстана,17-11-2025 16:26:31,"Умение работать с большими объемами данных – загрузка, препроцессинг, обучение, вывод моделей в продакшн. Обязательное знание языка программирования Python и библиотек...","Cбор и подготовка данных. Анализ имеющихся данных, поиск и правильная подготовка данных, визуализация с помощью дополнительных инструментов. Аналитика данных по...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127795940
Data Scientist anti-fraud,,Алматы,Публичная Компания «Freedom Finance Global PLC»,19-11-2025 14:41:43,"Высшее образование (бакалавр или выше) в области математики, статистики, компьютерных наук, инженерии или смежных дисциплин. Отличное владение Python. ","Проведение анализа клиентской базы, построение моделей машинного обучения (ML), включая: Сегментацию клиентов. Выявление аномальностей сделок, доходности, убытков. Создание ML-моделей. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/125988503
"Engineer, Data & Analytics-II - Engineer, Data & Analytics - Senior (Data Scientist)",,Атырау,Стамгазстрой,29-10-2025 09:32:59,Минимум 3 года практического опыта работы в области data science или машинного обучения. Прочная основа для обучения под руководством /без...,"Степень бакалавра в области компьютерных наук, разработки программного обеспечения, информационных систем, прикладной математики или в области другой смежной дисциплины. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127090604
Data Scientist,,Астана,IT Холдинг Kazdream,03-11-2025 16:04:29,"Знание и понимание технологии Data Science, в том числе ML и DL. Знание основ алгоритмов и структуры данных. ","Работа с сырыми/обработанными телеком. данными, веб-траффиком. Exploratory Data Analysis. Профилированием пользователей. Кластеризацией динамических текстовых, табулярных и графовых данных. ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127255172
Senior Data Scientist,,Алматы,Home Credit Bank,06-11-2025 10:08:21,Отличное знание языка Python. Опыт работы с библиотеками numpy и pandas. Отличное знание фреймворков глубокого обучения: опыт разработки нейронных сетей...,"Подбирать и применять методы машинного обучения, для решения и оптимизации производственных задач, включая обучение, transfer learning и fine-tuning. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127350455
Team Lead Data Scientist,,Алматы,Народный банк Казахстана,13-11-2025 16:52:57,"Высшее техническое образование. Опыт работы в сфере информационных технологий, банковской или финансовой сфере не менее 3-х лет. ","Построение и актуализация рекомендательных и склонностных моделей, направленных на управление ценностью клиента и увеличение продаж банковских продуктов. Мониторинг метрик и...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127655044
Data Engineer,,Астана,Исламский банк Заман Банк,30-10-2025 13:27:50,"SQL: уверенное владение сложными запросами (CTE, оконные функции, подзапросы). Python: опыт разработки ETL/ELT-процессов. СУБД: практический опыт с ClickHouse...","Анализировать бизнес-требования и проектировать витрины данных совместно с Data Analysts, Product Analysts и Data <highlighttext>Scientists</highlighttext>. Создавать и оптимизировать ETL...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127145046
Senior Data Scientist в Департамент кредитных рисков,,Алматы,Alatau City Bank,03-11-2025 08:45:37,"Высшее (экономическое, математическое, техническое, финансовое). Знание методов статистического анализа. Понимание специфики работы с большими данными. Умение генерировать, рассчитывать и проверять...","Подготовка данных и переменных для моделирования, Feature Selection, Feature Engineering. Создание ML-моделей, построение скоринговых карт. Валидация / бэк тестирование / рекалибровка...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127248617
Data Engineer,,Астана,Andersen,30-10-2025 17:06:48,Experience as a Data Engineer for 3+ years. Strong in informatica and with some SAP backed connectivity experience SAP...,Developing and optimizing data models for personalization and advanced analytics. Collaborating with data <highlighttext>scientists</highlighttext> to provide curated datasets for machine...,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127157358
Data Scientist (NLP),,Астана,"Beeline, ТМ",28-10-2025 11:00:13,"Опыт в NLP и глубоком обучении. Знание Python, PyTorch/TensorFlow, Git, Docker, SQL. Навыки back-end разработки приветствуются. ",Разработка и оптимизация NLP моделей под конкретные задачи. Работа с командой для быстрого генерирования и тестирования гипотез. Файн-тюнинг и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127048331
Tech Lead Data Scientist в Департамент кредитных рисков,,Алматы,Alatau City Bank,23-10-2025 08:12:58,"Высшее (экономическое, математическое, техническое, финансовое). Знание методов статистического анализа. Понимание специфики работы с большими данными. Умение генерировать, рассчитывать и проверять...","Подготовка данных и переменных для моделирования, Feature Selection, Feature Engineering. Создание ML-моделей, построение скоринговых карт. Валидация / бэк тестирование / рекалибровка...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/125713216
Data Engineer,,Алматы,Исламский банк Заман Банк,30-10-2025 13:27:50,"SQL: уверенное владение сложными запросами (CTE, оконные функции, подзапросы). Python: опыт разработки ETL/ELT-процессов. СУБД: практический опыт с ClickHouse...","Анализировать бизнес-требования и проектировать витрины данных совместно с Data Analysts, Product Analysts и Data <highlighttext>Scientists</highlighttext>. Создавать и оптимизировать ETL...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127145045
