title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
UX/UI-дизайнер,800000 KZT,Алматы,Мама знает,18-11-2025 12:25:02,4+ лет коммерческого опыта работы UX/UI / Product Designer. - Сильное портфолио с реальными проектами и кейсами. - Уверенное владение Figma...,Исследование пользователей. Проектирование UX (User Experience). Проектирование UI (User Interface). Взаимодействие с командой. Работа с контентом. Поддержка и развитие.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127826006
Дизайнер,,Алматы,Kcell,19-11-2025 18:25:08,"Хорошее понимание графического дизайна и визуальных коммуникаций. Умение придумывать и реализовывать визуальные концепции. Владение графическими программами: Adobe Photoshop, Illustrator, InDesign...","Делать дизайн и адаптацию макетов для новых и текущих акций, услуг и тарифов компании. Разрабатывать оформление оборудования и его упаковки. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127891133
Графический дизайнер,600000 KZT,Алматы,Sensata Group,18-11-2025 07:31:21,"Уверенное владение Adobe Photoshop, Illustrator, InDesign, CorelDRAW (знание Figma будет плюсом). Опыт разработки фирменного стиля, брендбуков, рекламных макетов. ","Верстка полиграфической продукции (буклеты, лифлеты, листовки, альбомы). Дизайн и адаптация наружной рекламы (оформление строительных участков, брендирование заборов, разработка ключевых визуализаций...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127808618
Старший дизайнер,711743 KZT,Алматы,MAGNUM,18-11-2025 07:24:00,"Профильное высшее образование. Владение Adobe Photoshop, Adobe Illustrator, Adobe Acrobat на профессиональном уровне, использование ИИ-генераторов изображений и видео, CorelDRAW. ","Разрабатывать креативные концепции и дизайн-проекты в соответствии с задачами Компании. Вести проекты от идеи до финальной реализации, контролировать сроки...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127808432
Графический дизайнер,400000 KZT,Алматы,yaya,20-11-2025 14:35:44,"Базовые анимации и простые ролики (After Effects / Canva). Насмотренность и чувство стиля. Умение работать в: Corel Draw, Tilda, Figma, Photoshop...",SMM-материалы. Статичные креативы для таргета. Презентации и другие графические материалы. Дизайн лендингов (Tilda). Упаковка соцсетей. Подготовка гайдов / гайдлайнов. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127787230
Графический дизайнер,,Алматы,Freedom Pay,20-11-2025 14:06:09,"Уверенное владение Photoshop, Illustrator, Figma. Навыки цифровой иллюстрации и умение рисовать. Опыт разработки логотипов и базового фирменного стиля. ","Мы ищем графического дизайнера, который умеет рисовать, создавать стильные визуалы и работать в разных форматах - от соцсетей до печатной продукции. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127784752
Графический дизайнер в Орловские бани,300000 - 400000 KZT,Астана,Sun Group,18-11-2025 13:55:16,"Опыт работы в графическом дизайне от 1 года. Владение Photoshop, Illustrator, Corel или аналогичными программами. Умение пользоваться инструментами на базе...","Создание POS материалов (меню, буклеты, листовки, презентации, этикетки и тд). Подготовка макетов для печати. Доработка бренд-материалов для разных рынков...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/127831079
Графический дизайнер,300000 - 600000 KZT,Алматы,Sattar Consulting,13-11-2025 11:52:32,"Владение Adobe Photoshop, Illustrator, InDesign, Figma. Понимание принципов композиции, цвета и типографики. Опыт работы от 1 года и сильное портфолио. ","Разработка визуальных материалов для компании: презентации, буклеты, посты, визитки, фирменные шаблоны. Создание и поддержание фирменного стиля компании. Подготовка материалов для...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127627285
Графический дизайнер,350000 KZT,Астана,H2O Sports Club (Ozen fitness),20-11-2025 15:35:19,"Опыт работы в графическом дизайне от 1 года. Уверенное владение графическими редакторами (Adobe Photoshop, Illustrator и др.). Креативность и внимание...",Создание продающих креативов (рекламных баннеров). Создание визуальных концепций и дизайн-макетов. Разработка графических материалов для печати и цифровых платформ. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127792195
Стажер дизайнер в отдел маркетинга,120000 KZT,Алматы,KOMPAS,18-11-2025 14:14:12,"Базовое понимание шрифтов, айдентики и стиля. Насмотренность и чувство трендов. Навыки в графике (desktop-версии), монтаж, анимация — будет плюсом.","Молодая команда, куча идей и фишек.","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/127832509
