title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
DevOps-инженер,300000 KZT,Алматы,UCO,14-11-2025 09:35:15,"Обязательные. Опыт работы в роли DevOps-<highlighttext>инженера</highlighttext> от 1 года. Знание GitLab CI/CD (настройка пайплайнов, работа с переменными, артефактами). ","Разработка, внедрение и поддержка CI/CD пайплайнов в GitLab, Jenkins. Настройка и администрирование Kubernetes-кластеров. Автоматизация процессов развертывания и доставки...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127698713
DevOps-инженер/k8s инженер,,Алматы,TTM Dev KZ,20-11-2025 09:35:26,"Глубокий опыт с Kubernetes ( > 3 лет): Проектирование и эксплуатация продакшн-кластеров (желательно с autoscaling, PDB, network policies). Уверенное владение Deployments...","90% - эксплуатация и развитие продакшн-инфраструктуры: Сопровождение managed k8s(контроль-плейн, нод-пулы, autoscaling, PDB, network policies). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127762706
Middle/Senior DevOps Engineer,1100000 - 1400000 KZT,Алматы,Hero’s Journey,19-11-2025 08:43:05,"IaC, CI/CD-пайплайны. Опыт: Подтвержденный опыт работы в роли DevOps, особенно в среде AWS. Инструменты: Практическое владение EC2...","IaC: Организация и управление миграцией на AWS,IaC Pulumi, внедрение подхода инфраструктуры как кода. Управление облаком: Контроль за AWS-сервисами...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127853899
DevOps Engineer,110000 - 140000 RUR,Алматы,М1НТ,20-11-2025 17:17:09,Опыт работы от 1 года на позиции DevOps. Уверенное владение Python — написание и поддержка скриптов автоматизации. Отличное знание Linux (systemd...,Поддержка окружения разработки (~10 небольших проектов-витрин). Взаимодействие с командой разработчиков. Настройка автоматизации сборок и CI/CD процессов. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127927381
DevOps / AI-инженер,1800000 KZT,Алматы,Отау Курмет,28-10-2025 15:50:41,"1. Опыт работы в DevOps / SRE / Linux-инфраструктуре от 3 лет. 2. Уверенные знания Docker, NVIDIA Container Toolkit, CUDA. 3. ",Интерфейса.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127072458
DevOps Engineer Senior/Middle+,100000 - 200000 RUR,Астана,ИнтеллектДиалог,16-11-2025 16:10:36,"Просьба откликаться только кандидатам с подтверждённым продакшн-опытом. Работаем со следующими инструментами — нужно уверенное владение ими в продакшне: Docker, Docker...",Технологический стек. GitLab CI/CD (сложные пайплайны). Оптимизация и поддержка CI/CD процессов. Взаимодействие с разработкой (мы двигаемся очень быстро). ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/127749317
DevOps Senior/Lead cпециалист,1200000 - 1500000 KZT,Астана,Proper Solutions,14-11-2025 14:03:01,Gitlab CI/CD. Kubernetes. Docker. Helm. Ansible. PostgreSQL Patroni Cluster. ElasticSearch cluster + Kibana. Nginx ingress load balancing. ,"Проведение daily, распределение задач между DevOps <highlighttext>инженерами</highlighttext>. Менторинг DevOps специалистов и системных администраторов. Отслеживание эффективности работы DevOps команды. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127713517
DevOps-инженер,989000 - 1977000 KZT,Астана,Wiren Board,10-11-2025 13:23:50,"Делаем железки для автоматизации (сами разрабатываем, производим, продаем, поддерживаем). В наличии - активности на любой вкус: от Linux kernel до web. ","Развивать и поддерживать инфраструктуру web-продуктов (деплой, миграции) и офиса (мониторинги, сеть). Задачки - разные (от ""написать пайплайн в jenkins"" до...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127475447
DevOps-инженер,,Шымкент,УЧРЕЖДЕНИЕ УНИВЕРСИТЕТ МИРАС,14-11-2025 13:59:44,"Хорошее знание Kubernetes, Docker и Helm. — Опыт работы с CI/CD (GitLab CI, Jenkins, ArgoCD и т. п.). — ","Настраивать и администрировать Kubernetes-кластер. — Мигрировать проекты из текущих окружений. — Следить за производительностью, безопасностью и отказоустойчивостью. — Настраивать мониторинг, логирование и...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127713209
DevOps Engineer,,Алматы,Банк ЦентрКредит,20-11-2025 16:36:46,Опыт работы на должности DevOps <highlighttext>Engineer</highlighttext> не менее 3х лет. Опыт работы с Kubernetes (RKE\Openshift). Базовые знания Terraform...,"Разрабатывать/развивать шаблонизированные pipeline с учетом лучших практик. Разрабатывать/развивать/сопровождать базовые helm чартов для применения командами (Kafka, Rabbit, Postgres...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127925706
DevOps-инженер,,Астана,Центр электронных финансов,11-11-2025 07:46:49,"Высшее техническое образование. Знание технологии: Kubernetes, Nginx, ELK, Gitlab CI, Github actions, приветствуется знание argocd, fluxcd. Знание и понимание базовых...",ППО- Docker.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127499180
DevOps Database Engineer,,Алматы,Freedom Pay,19-11-2025 13:34:19,"Опыт работы с MySQL и/или Oracle Database от 3 лет(настройка, оптимизация, репликация, резервное копирование, восстановление). Практический опыт работы...","MySQL: настройка и оптимизация, репликация, работа с кластерными решениями, master-slave, InnoDB, бэкап и восстановление, мониторинг производительности и доступности. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127872407
Инженер DevOps Старший,,Астана,BI Group,19-11-2025 07:35:53,"Опыт работы в роли DevOps <highlighttext>инженером</highlighttext> от 3-х лет, из них 1+ год в роли Senior. ","Участие в проектировании архитектуры высокой отказоустойчивости. Мониторинг и поддержка инфраструктуры предприятия, обеспечение ее бесперебойной. Работы. Поиск и устранение узких мест...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127851685
