title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Инженер-программист,400000 - 600000 KZT,Астана,Фаворит Секьюрити,20-11-2025 07:20:47,"Знание прикладных компьютерных программ. Опыт работы с программами охранного мониторинга (не обязательно, но желательно). Знание документооборота предприятия. Знание 1С...",Ответственность за бесперебойную работу программ охранного мониторинга. Выработка мер по усовершенствованию программ охранного мониторинга. Руководство технической частью предприятия.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127896760
Python-разработчик,500000 KZT,Алматы,АКСИОМА ПЛЮС,18-11-2025 12:16:53,Базовые знания Python и желание развиваться в этом направлении. Понимание принципов ООП и работы с базами данных (SQL). ,Поддержка и развитие внутренних сервисов и инструментов на Python. Автоматизация рутинных процессов и обработка больших объемов данных. Интеграция с внешними...,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127825503
Junior frontend-разработчик,,Алматы,"Beeline, ТМ",04-11-2025 14:42:45,"Владение JavaScript ES2025. Опыт работы с фреймворками React, Vue. Знание библиотек Redux, Router, понимание принципов работы менеджеров состоя-ний...",Участвует в проектировании модулей и функционала приложений в своей экспертной области. Выполняет верстку компонентов и страниц приложений. Разрабатывает frontend-составляющую...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127263736
Junior Frontend разработчик,,Алматы,Jaryq Lab,01-11-2025 16:41:06,"Знание Git. Знание JS/HTML/CSS. Знание Vue.js, React, vite. Умение писать SQL. Умение подключать API, асинхронная подгрузка, кеширование. ",,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127229477
Frontend-разработчик (middle 3),,Алматы,Freedom Pay,19-11-2025 11:00:40,"Опыт работы на позициях Frontend-разработчик от 4+ лет. Обязательный стек технологий: HTML, CSS3, JavaScript, CSS, Vue.js, vuex...","Поддержка и развитие пользовательских интерфейсов, фреймов и платежных форм. Интеграция с Back end через API. Взаимодействие с дизайнерами и Back...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127862616
Стажер-разработчик,150000 - 250000 KZT,Алматы,Prime Source,28-10-2025 07:58:49,"Знание основ программирования. Знания любого языка программирования (JavaScript, PHP, Python, C#, Java, C, C++ и др). Писать код, понимать основные...","Разработка, развитие и поддержка Аналитической системы.","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/125312363
Backend-разработчик (junior),400000 - 500000 KZT,Алматы,kense.app,18-11-2025 05:51:22,"C#, .NET Core (6/7/8), ASP.NET Core Web API. Опыт работы с асинхронностью (async/await, Task, CancellationToken). ","Разрабатывать и поддерживать REST API на ASP.NET Core (.NET 6/7/8). Проектировать и оптимизировать работу с данными (PostgreSQL, Entity...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127806508
Developer,,Алматы,Народный банк Казахстана,20-11-2025 16:13:33,"Знание Java (8+), PL/SQL. Опыт оптимизации производительности, профилирования кода. Опыт работы с фреймворками: Spring (Spring Boot, Spring Data...","Разработка и поддержка высоконагруженных приложений на Java. Код-ревью, обеспечение качества кода и соблюдения стандартов. Оптимизация производительности приложений, устранение узких...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127924753
Frontend Developer (Vue),,Астана,COMPETO LLC,20-11-2025 09:48:03,5+ лет опыта во frontend-разработке. Отличное знание JavaScript. Глубокое понимание Vue 2 / Nuxt 2 (для миграции) и Vue...,"Миграция крупного legacy-проекта с Vue 2 / Nuxt 2 на Vue 3 / Nuxt 4. Глубокий рефакторинг, переписывание ключевых модулей. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127902367
Java Developer (Middle),,Алматы,Jana Post,18-11-2025 14:05:16,Основные навыки: Опыт коммерческой разработки на Java 17 и Spring Framework 3 (от 2 лет). Владение Maven и умение управлять...,,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127831844
