title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Junior frontend-разработчик,,Алматы,"Beeline, ТМ",04-11-2025 14:42:45,"...плюсом опыт работы с CSS-фреймворками (Tailwind, Bootstrap). Будет плюсом: Базовое владение фреймворками Node.js, Angular. Понимание принципов <highlighttext>разработки</highlighttext> Flutter-приложений.",Выполняет верстку компонентов и страниц приложений. Разрабатывает <highlighttext>frontend</highlighttext>-составляющую приложений с использованием JS-фреймворков с соблюдением актуальных стандартов ECMAScript. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127263736
Junior Frontend разработчик,,Алматы,Jaryq Lab,01-11-2025 16:41:06,"Знание Git. Знание JS/HTML/CSS. Знание Vue.js, React, vite. Умение писать SQL. Умение подключать API, асинхронная подгрузка, кеширование. ",,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127229477
Frontend-разработчик (middle 3),,Алматы,Freedom Pay,19-11-2025 11:00:40,"Опыт работы на позициях <highlighttext>Frontend</highlighttext>-<highlighttext>разработчик</highlighttext> от 4+ лет. Обязательный стек технологий: HTML, CSS3, JavaScript, CSS, Vue.js, vuex...",Интеграция с Back end через API. Взаимодействие с дизайнерами и Back end <highlighttext>разработчиками</highlighttext> для совместной работы над проектами. <highlighttext>Разработка</highlighttext> новых...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127862616
Frontend Developer (Vue),,Астана,COMPETO LLC,20-11-2025 09:48:03,5+ лет опыта во <highlighttext>frontend</highlighttext>-<highlighttext>разработке</highlighttext>. Отличное знание JavaScript. Глубокое понимание Vue 2 / Nuxt 2 (для миграции) и Vue...,"Миграция крупного legacy-проекта с Vue 2 / Nuxt 2 на Vue 3 / Nuxt 4. Глубокий рефакторинг, переписывание ключевых модулей. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127902367
Frontend Developer (Интернет-банкинг),,Алматы,Рекрутинговое агентство Fin Career Lab,19-11-2025 10:43:04,Обязательный опыт и навыки. Опыт коммерческой <highlighttext>разработки</highlighttext>: не менее 3 лет в роли <highlighttext>фронтенд</highlighttext>‑<highlighttext>разработчика</highlighttext>. Ключевые технологии: React 18+...,Проект: Интернет-банкинг. Работа с интерфейсом и UX. Локализация и интернационализация. Работа с данными и утилитами. Архитектура. Интеграции и безопасность. ,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/127861307
Frontend-разработчик,150000 - 500000 KZT,Алматы,BePRO,11-11-2025 09:18:32,"Умение работать в команде и взаимодействовать с дизайнерами и другими <highlighttext>разработчиками</highlighttext>. - Проактивность, умение предлагать и внедрять улучшения. Языковые требования: - Свободное...",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127503444
Front-end разработчик (React/Vue),,Алматы,iBEC Systems,29-10-2025 12:45:04,...к своей работе опытного <highlighttext>Frontend</highlighttext>-<highlighttext>разработчика</highlighttext>. Чего мы ждём от вас: Опыт работы в качестве <highlighttext>Frontend</highlighttext>-<highlighttext>разработчика</highlighttext> от 2-х...,Внешние и внутренние семинары или доклады.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127102369
Middle Frontend-разработчик,,Алматы,Birdhouse,07-11-2025 15:31:17,"Опыт работы с React от 2-3 лет, знание TypeScript. Уверенные знания HTML5, CSS3, JavaScript. Опыт работы с...","<highlighttext>Разработка</highlighttext> SPA-приложений с использованием современных фреймворков. Вёрстка по макетам (Figma), адаптивный и кроссбраузерный дизайн. Интеграция с backend API (REST...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127414287
Frontend-разработчик (React / Dashboard / Real-time UI),400000 - 500000 KZT,Астана,СпецГазМонтаж,19-11-2025 10:50:59,Опыт с Framer Motion / Mapbox / Leaflet будет плюсом. Опыт <highlighttext>Frontend</highlighttext> -<highlighttext>разработки</highlighttext> от 3 лет. Умение проектировать удобные интерфейсы (UI/UX). ,Визуализация телеметрии. Отчётность и контроль операций. Управление пользователями и ролями. <highlighttext>Разработка</highlighttext> интерфейса системы на React + TypeScript. Работа с REST...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127623636
"Frontend-разработчик (Vue 3 / Nuxt 3, Junior/Middle)",400000 KZT,Алматы,The Boss media group,18-11-2025 14:59:55,"Опыт коммерческой <highlighttext>разработки</highlighttext> на Vue 3 + Nuxt 3 + TypeScript. Знание Pinia, принципов организации стора. Навыки работы с SSR...","<highlighttext>Разработка</highlighttext> и поддержка <highlighttext>фронтенда</highlighttext> на Nuxt 3 / Vue 3 (TS). Создание UI-компонентов, адаптивной вёрстки. Работа с SSR/SSG, middleware...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127835095
Frontend-разработчик Next.js (Middle+/Senior),2500 EUR,Алматы,Региональная компания,13-11-2025 13:08:49,"Умение использовать Docker и docker-compose для <highlighttext>разработки</highlighttext> и тестирования (важно). - Понимание процесса развертки приложения, опыт настройки CI/CD. - ",,"{'id': 'remote', 'name': 'Удаленная работа'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127632119
Разработчик Программист Frontend Backend Phyton,300000 - 400000 KZT,Алматы,XXL MEBEL,18-11-2025 09:59:28,PHP (Laravel). React Native. Native:,"<highlighttext>Frontend</highlighttext>: React, Vue, Angular. Backend: Cross-Platform: Swift (iOS). Kotlin (Android).  3. Desktop-<highlighttext>разработчики</highlighttext>.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127815605
Frontend Developer,,Алматы,Рекрутинговое агентство Fin Career Lab,13-11-2025 07:35:29,"Опыт коммерческой <highlighttext>разработки</highlighttext> на React от 2 лет. Уверенное владение JavaScript (ES6+), понимание принципов работы Redux и middleware...","Участие в ревью кода и взаимодействие с backend-<highlighttext>разработчиками</highlighttext>, QA и UX/UI-дизайнерами. Технологический стек. Состояние: Redux, Redux Thunk. ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127613760
Frontend developer (React) Middle,1300000 KZT,Алматы,Teez,13-11-2025 15:08:42,Понимание FrontOps и зачем нужны Backend For <highlighttext>Frontend</highlighttext> (BFF). Базовые знания Node.js. Навыки в архитектуре <highlighttext>FrontEnd</highlighttext>-проектов. Умение оптимизировать и...,"Написание кода MVP приложения React, Next.js. Участие в релизах. Участие в SCRUM-церемониях. Код-ревью, построение культуры кодирования.","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127639278
