title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR менеджер (Помощник),350000 KZT,Атырау,САТЫМ,19-11-2025 08:42:37,Организационные способности. ﻿﻿Готовность обучатся и развиваться в. HR-сфер. Быстрая адаптация.,Подбор персонала (помощь). ﻿﻿Подготовке отчетов по персоналу для руководства. ﻿﻿Координация процессов адаптации новых сотрудников. ﻿﻿Поддержка сотрудников по вопросам кадровой документации...,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127853885
HR Generalist,,Алматы,"Danone, ТМ",19-11-2025 16:48:30,"Высшее образование (""Управление персоналом"", ""Менеджмент"", ""Экономика"", ""Бизнес-администрирование"", ""Психология""). Знание ТК РК. Опыт работы в департаменте HR минимум 1 - 2...","Участие во всех ключевых HR-процессах: подбор персонала, адаптация, управление эффективностью, обучение и развитие сотрудников. Формирование партнерских отношений с бизнес...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127886625
HR-специалист,500000 KZT,Астана,OPATRA LONDON (ОПАТРА ЛОНДОН),19-11-2025 14:04:43,Опыт работы в HR и рекрутменте от 2 лет. Знание современных инструментов подбора персонала. Отличные коммуникативные навыки и умение работать...,Полный цикл подбора персонала. Проведение интервью и оценка кандидатов. Взаимодействие с руководителями отделов для определения кадровых потребностей. Поддержание положительного имиджа...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127874437
HR менеджер в кофейню,,Алматы,Capito (Капито),20-11-2025 13:48:53,"Опыт работы в HR сфере: поиск, подбор, адаптация, мотивация персонала и работа с корпоративной культурой. Организованность и ответственность. ","Поиск и привлечение лучших кандидатов для компании. Проведение собеседований, оценка и отбор кандидатов на основе профессиональных качеств и критериев компании. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127917383
Главный HR-менеджер 2 категории,450000 - 500000 KZT,Астана,ТЕМІРЖОЛ ЖӨНДЕУ,18-11-2025 12:57:55,"От 6 лет опыта в HR. Рассматриваются только кандидаты с опытом от 3-х лет в производственных, строительных компаниях, компаниях...","Полный цикл рекрутинга (АУП, ИТР состав, головной компании Қамқор менеджмент и дочерних организаций). Участие в инвентаризации, заключение и контроль договоров...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127827705
HR specialist,,Астана,Agrostream,19-11-2025 17:27:50,"2+ лет опыта HR Generalist / HRBP, желательно в IT. Опыт закрытия технических вакансий (разработчики, аналитики, инженеры). Навыки структурированных интервью. ","Полный цикл подбора в IT: поиск, скрининг, интервью, координация финальных этапов. Формирование профиля кандидата совместно с руководителями (Python, .NET, GIS...","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127888954
HR (офис менеджер),,Караганда,Power Blast,20-11-2025 12:13:43,Опыт работы в HR или офис-менеджменте — от 1 года. Знание кадровых процессов и основных HR-инструментов. Грамотная письменная и...,"HR-функции: Подбор персонала: размещение вакансий, отбор резюме, проведение первичных собеседований. Оформление сотрудников: приём, перевод, увольнение совместно с бухгалтерией/кадрами. ","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127912011
Стажер в HR,,Алматы,"AIR ASTANA, АО",17-11-2025 09:11:29,"Студентов 3–4 курса или выпускников по направлениям HR, психология, менеджмент и смежным дисциплинам. Готовность работать полный день (Пн–Пт). ",Анализ и первичный отбор резюме. Проведение предварительных интервью. Поддержка в организации конкурсных отборов и дней открытых дверей. Подготовка отчетов и...,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127760968
HR-менеджер,400000 - 500000 KZT,Алматы,Национальный научный центр особо опасных инфекций имени Масгута Айкимбаева,20-11-2025 08:12:30,"Высшее образование (юридическое, управление персоналом, государственное управление или смежные). Опыт работы в кадровом администрировании от 3-5 лет, из них...","Организация и контроль полного цикла кадрового делопроизводства в соответствии с ТК. Разработка и внедрение кадровой политики, локальных нормативных актов, должностных...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127897832
Ассистент HR-менеджера,250000 KZT,Караганда,Оптимальный,20-11-2025 08:01:02,"Знание трудового, гражданского законодательства. Умение пользоваться ПК.","Оформление документов при приеме, увольнении и переводе сотрудников. Подготовка и ведение личных дел.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127897556
