title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Product Manager в Kolesa.kz,1100000 - 1600000 KZT,Алматы,Kolesa (АО Колеса),19-11-2025 12:10:58,Навыки управления проектами. Желание стать лидером и драйвером своей команды. Что ты не боишься амбициозных KPI. Умение принимать важные решения...,"Делать интересные проекты в продукте с миллионами пользователей. Проводить discovery сегментов b2b, b2c в разделах продукта...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127867390
Product Manager Givenchy and Kenzo,,Алматы,LVMН P&C KAZAKHSTAN (ЛВМШ ПИ ЭНД СИ КАЗАХСТАН),13-11-2025 14:49:18,,Forecasting/Analytics/Controlling/Marketing: -Clients stock recommendation development & control. -Planning and forecasting analysis. -Analysis of sales by different projections analysis...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127637546
Product manager,,Астана,BTS Digital,18-11-2025 22:38:02,"Опыт работы <highlighttext>Product</highlighttext> <highlighttext>Manager</highlighttext> / Project Manager / Product Owner от 3 лет. Опыт в финтехе, госуслугах, социальной сфере или крупных В...",Определение и развитие продуктовой стратегии по направлениям Социального кошелька (немонетарные и монетарные меры поддержки). Сбор и приоритизация требований от государственных...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127847074
Product manager (бонусы),,Алматы,Arbuz Group (Арбуз Груп),17-11-2025 11:08:11,"Не менее 3х лет в роли <highlighttext>Product</highlighttext> <highlighttext>Manager</highlighttext>, предпочтительно в сфере e-commerce или аналогичных проектах. Опыт внедрения ключевых...","Проведение интервью с бизнесом, выявление проблем и гипотез. Анализ текущих процессов и проектирование улучшений. Анализ процессов и данных: AS-IS...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127770454
Junior Product Manager,,Астана,Коркем Телеком,18-11-2025 15:29:05,"Управление жизненным циклом продукта и улучшение пользовательского опыта. Что мы ищем? Высшее образование в сфере технологий, управления или бизнеса. ","Участие в разработке и реализации стратегии продукта. Анализ рынка и потребностей клиентов. Взаимодействие с командами разработки, маркетинга и продаж. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127836878
Product Designer,,Алматы,Bereke Bank,18-11-2025 18:15:14,"Среднее специальное/незаконченное высшее / высшее образование (гуманитарное, техническое, экономическое, либо в области дизайна, маркетинга, менеджмента или IT) / дополнительные курсы/сертификаты...",Дизайн мобильного приложения Bereke Bank. Развитие и улучшение процессов Design Lab.,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127845032
IT Product Manager,500 - 1500 USD,Астана,ОсОО Юнифан,12-11-2025 10:01:09,"Хорошее владение русским языком, знание английского будет преимуществом. Умение четко и правильно излагать свои мысли - устно и письменно. ","Работа с существующими проектами, поиск возможностей для добавления нового функционала. Участие в составлении и ведении технической документации по проектам (product...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127563740
"Product manager (депозиты, текущие счета)",,Астана,ForteBank,17-11-2025 08:51:48,6. Работа с клиентским опытом: 1. Профессиональные знания: - структура банковской системы. 4. Продуктовые и управленческие навыки: 5. Аналитические навыки: - владение...,"1. Разработка и сопровождение продуктовой линейки: - анализ рынка депозитов, конкурентной среды и клиентских потребностей. - разработка новых и улучшение существующих продуктов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127759695
Borehole Production / Well Integrity Engineer,,Астана,Шлюмберже Лоджелко Инк. в РК,17-11-2025 15:39:56,"Bachelor's or Master's degree in Petroleum Engineering, Production Engineering, or a closely related technical field. Minimum of 2...","Production Log Interpretation (PLT/P-LWD): Analyze and interpret multi-phase flow data (e.g., fluid identification, phase velocity, holdup...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127792578
IT/AI Product manager,,Астана,Хуавей Текнолоджиз Казахстан,05-11-2025 15:43:14,"1. Deep knowledge in AI and IT technologies, such as server, storage, virtualization, with server working experience is preferred. 2. ","1. Market insight of IT/AI industry, co-work with account, partner team to achieve sales target. 2. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127319207
Product менеджер по направлению «Генетика»,,Астана,Micro Solutions,30-10-2025 14:11:50,"Опыт: Релевантный опыт работы на позиции <highlighttext>Продакт</highlighttext>-<highlighttext>менеджера</highlighttext>, Специалиста по продукции (Application Specialist) или Менеджера по продажам лабораторного/медицинского оборудования...","Управление продуктовым портфелем: Формирование, развитие и управление ассортиментом оборудования, реагентов и расходных материалов для генетических исследований. Маркетинг и продвижение: Разработка...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127148132
Product Manager (Астана),350000 - 600000 KZT,Астана,Stay Study,20-11-2025 15:56:13,Опыт работы <highlighttext>Product</highlighttext> <highlighttext>Manager</highlighttext> / Business Analyst / Project Manager от 1–2 лет. Умение писать понятные и структурированные технические задания. ,"Формировать и описывать задачи для разработчиков (чётко, подробно, без воды). Собирать требования от команды (учителя, кураторы, маркетинг) и пользователей. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/127721174
