title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
QA-инженер (в компанию Freedom Drive),,Алматы,FREEDOM MOBILE,20-11-2025 06:29:36,"Знание методологий тестирования (функциональное, регрессионное, нагрузочное). Опыт работы с инструментами тестирования (JIRA, TestRail, Postman). Умение составлять и документировать тест-кейсы...",Тестирование мобильных приложений на платформах IOS/Android. Тестирование веб сайта. Написание тест-планов и тест-кейсов. Составление отчетности по результатам...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127895681
QA инженер,,Алматы,Neocode,20-11-2025 09:26:32,"Опыт ручного тестирования от 2 лет. ​​​​​​​. - Понимание жизненного цикла разработки (SDLC/STLC). - Опыт работы с системами баг-трекинга (Jira, YouTrack...","Тестирование web-приложений. - Анализ требований и подготовка тестовой документации (чек-листы, тест-кейсы, баг-репорты). - Регистрация и контроль исправления дефектов. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127762091
Middle QA Engineer,,Алматы,ROGII,17-11-2025 15:09:06,"Нам важно, чтобы у вас был опыт: - Опыт в тестировании API. - Опыт в тестировании веб-приложений. - Знание баг-трекинговых систем. - ",С чем предстоит работать: - Тестирование программного обеспечения. - Участие в разработке сценариев тестирования. - Создание и поддержание тестовой документации. - Подготовка отчетов по...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127790049
Manual QA инженер (стажер),,Алматы,oitech,17-11-2025 17:18:01,"Желательно прохождение курсов по QA. Опыт участия в крупных IT проектах будет вашим преимуществом. Приветствуется наличие опыта прохождения стажировок, других...","Проводить ручное тестирование. Работа в баг-трекинговой системе Notion/Jira/Trello. Работа с технической документацией, бизнес-требованиями. Составление тестовой документации. ","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127798976
Инженер по тестированию ПО (QA),,Астана,Webkassa Development,28-10-2025 16:02:21,"Глубокое понимание жизненного цикла разработки ПО, методологий тестирования и опыт разработки тестовых сценариев. SQL на уровне JOIN. Опыт с Postman...",Тестирование требований. Создание и поддержка чек-листов в актуальном состоянии. Проведение ручного тестирования web-приложения: frontend и backend. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127073020
Junior QA Engineer,,Астана,Hard Code,20-11-2025 14:25:20,"Технический бэкграунд в области QA. Знание и применение техник тест-дизайна. Знание принципов работы протоколов HTTP, TCP. Понимание принципов работы...","Тестирование REST API с помощью Postman / Swagger. Регистрация багов и составление протокола по результатам тестирования. Анализ задач в трекере, технической...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127919286
QA Engineer,,Алматы,Region LLC,24-10-2025 14:18:25,"Опыт работы в сфере тестирования от 2х лет. Уверенное знание методологий, инструментов тестирования и способов их применения. ","Проводить ручное тестирование мобильных приложений. Работа в баг-трекинговой системе Jira. Работа с технической документацией, бизнес-требованиями. Составление тестовой документации...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126915528
QA Engineer,,Астана,Playrix,17-11-2025 16:53:50,Ищем заряженного человека с горящими глазами и готового быстро расти. Коммерческий опыт ручного тестирования от 1 года. Высшее образование. ,"Ручное тестирование новых фич игры на платформах iOS, Android, Amazon, MacOS, UWP. Тестирование всего проекта в рамках предсабмитных и сабмитных...","{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127797376
"QA инженер, команда Chocofood",,Алматы,Choco (ТОО Chocofamily),20-11-2025 07:47:51,"3+ лет опыта в продуктовом тестировании (web+mobile). Опыт работы с Playwright, JS/TS на практических заданиях. Знания по теории...",Тестирование мобильных приложений (iOS / Android)- основной объем задач. Функциональное и нефункциональное тестирование web-приложений (Frontend / Backend). Проверка интеграций со смежными...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127755910
QA Engineer,320000 - 320000 KZT,Астана,Национальные информационные технологии,11-11-2025 15:21:54,"Высшее образование в области информационных технологий. Опыт работы от 2 до 3 лет в сфере бизнес-анализа, сопровождения ИС или...","Проводить тестирование и приёмку доработанного функционала. Подготавливать отчёты по результатам тестирования. Взаимодействовать с заказчиками, разработчиками и смежными подразделениями. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127537414
QA Engineer в офис Алматы,,Алматы,SlonW,24-10-2025 14:11:00,"Имеет коммерческий опыт работы в должности <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> от 1 лет. Понимает архитектуру микросервисов, коммуникационный слой бэкенда и фронтенда, различные...","Проведением manual тестов и анализом результатов, информированием о выявленных проблемах. Разработкой новых и поддержкой существующих тестов. Выполнением функционального, интеграционного и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126915007
QA Engineer,,Алматы,Netevia,06-11-2025 15:48:22,"Владение письменным английским языком. Опыт ручного тестирования веб-приложений от 3 лет. Опыт работы с багтрекинговыми системами, типа Jira.","Ручное тестирование frontend и backend частей проекта и интеграции с периферийными устройствами (принтерами, платежными терминалами).","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127373598
QA Manual Engineer,,Алматы,ТИКЕТС КЗ,18-11-2025 11:57:47,"Опыт работы более 2 лет как <highlighttext>QA</highlighttext> Manual <highlighttext>Engineer</highlighttext>, предпочтительно в сфере электронной коммерции или IT-технологий для путешествий. - ","Сотрудничество с командами разработки, дизайна и менеджмента продукта. - Выполнение функционального, регрессионного, и исследовательского тестирования. - Разработка и поддержка тестовой документации. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127576085
QA инженер,,Астана,ЧК TargetAI Limited,13-11-2025 15:57:04,3+ лет опыта в QA. Глубокое понимание процессов тестирования и жизненного цикла ПО. Опыт тестирования сложных распределённых систем (желательно...,"Формирование и развитие процессов тестирования (manual + automation). Разработка и поддержка тестовой документации (чек-листы, тест-кейсы, баг репорты). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127646385
QA Engineer,,Алматы,Globerce Inc.,10-11-2025 15:52:09,Опыт работы в коммерческой разработке или проектной команде. Опыт тестирования систем с микросервисной архитектурой. Знание и опыт работы с Camunda. ,"Тестирование нового функционала и доработок. Проведение регрессионного тестирования. Разработка, обновление и структурирование тест-кейсов. Тестирование интеграционных сервисов и взаимодействий между...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127485134
Manual QA (Tester),,Алматы,РЕДПРИНТ ТМ «Nidge»,20-11-2025 14:24:16,"Опыт работы <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> от 1 года. Понимание жизненного цикла разработки ПО и методологий тестирования (Agile, Scrum, Kanban). ","Разработка и поддержка тестовой документации (test cases, check lists, bug reports). Проведение функционального, регрессионного, интеграционного и UI-тестирования. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127311956
QA-инженер,,Алматы,Kcell,12-11-2025 09:40:54,Опыт ручного тестирования API используя инструменты Postman/Insomnia/Swagger и т.д.. Опыт работы в продуктовой команде. Понимание процессов разработки...,"Проведение ручного функционального, smoke и регрессионного тестирования WEB и мобильных приложений. Создание, актуализация и сопровождение тестовой документации (чек-листы, тест...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127562371
Manual QA Engineer (Middle / Pre-Middle) - CNP Processing (E-Commerce),,Алматы,CNP Processing GmbH,19-11-2025 15:55:37,Знание теории тестирования и опыт применения техник тест-дизайна. Опыт веб-тестирования и тестирования бэкенда. Опыт работы с SOAP-сервисами. ,"Проведение функционального, регрессионного и исследовательского тестирования SOAP и REST сервисов. Выполнение интеграционного и API тестирования. Тестирование пользовательского интерфейса (UI). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127646212
Junior QA/QC Engineer (Game Tester),,Алматы,COREPUNK GLOBAL,20-11-2025 18:47:19,Basic understanding of QA processes and test design. Confident PC and Windows user; familiarity with office tools (Google Suite / MS...,"Execute test cases, feature checks, smoke tests. Compile QA reports based on test results. Reproduce, document, and prioritize bugs in...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127160233
Middle QA Engineer,1500000 KZT,Айтеке-Би,Yes Money LLC,11-11-2025 19:03:31,"2+ year of experience in software testing. Understanding of QA principles, testing methodologies, and SDLC. Experience working in Agile...",Highload Development — development of highly loaded services and systems. CRM System Development — development of a number of services to ensure...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127549563
Middle QA Engineer,,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),20-11-2025 14:01:38,"Осуществление тестирования web, мобильных приложений. Опыт работы с системами управления тестирования. Применение техник тест дизайна и ведение тестовой документации. ","Тестировать web, мобильные приложения, систем биллинга. Знать и применять различные методологий тестирования. Анализировать требования и разрабатывать тестовые сценарии.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126574222
Middle QA Automation Engineer | KZ,1400 - 2400 USD,Алматы,Zeon (ОсОО Goog),27-10-2025 18:14:01,"Опыт работы в QA от 2 лет, уверенные навыки в Python (Pytest). Опыт написания автотестов и работы с CI/CD. ","Разрабатывать и поддерживать автотесты (Selenium, Appium, Pytest). Участвовать в построении и оптимизации CI/CD-пайплайнов (GitLab, Jenkins, GitHub Actions). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127027244
QA Engineer,,Алматы,«Aviata» (Freedom Travel),20-11-2025 09:57:58,Опыт работы в QA от 3 лет. Понимание процессов разработки и тестирования ПО. Опыт тестирования API и клиент-серверных приложений. ,"Проводить полный цикл ручного тестирования веб- и мобильных приложений. Разрабатывать и поддерживать тестовую документацию (тест-кейсы, чек-листы, баг-репорты). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127506419
QA Engineer (manual / automation),100000 - 100000 RUR,Алматы,Аркадия,13-11-2025 10:03:55,"Опыта тестирования веб-приложений — от 3 лет. Опыта работы с БД, SQL-запросами (PostgreSQL). Знания методов обеспечения качества и техники...",,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127620596
QA Engineer (middle),,Астана,ЕТС ИНТЕРНЕЙШНЛ,12-11-2025 16:21:35,"Опыт тестирования web-приложений. Опыт тестирования REST API. Понимание принципов и методологий разработки ПО (SCRUM, Kanban). Понимание основных принципов проектирования...","Cоздание и управление жизненным циклом тест-кейсов и чек-листов (cucumber). Cоздание тест-планов. Ручное интеграционное, системное тестирование продукта (web...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127603003
