title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR-рекрутер,500000 - 750000 KZT,Алматы,REC-A,14-11-2025 11:59:29,Опыт работы в HR и рекрутинге от 3 лет. Опыт построения HR-процессов с нуля. Опыт полного цикла рекрутинга. ,"Строить HR-систему с нуля: процессы, внутренние коммуникации, адаптацию и онбординг. Разрабатывать HR-политики, регламенты и KPI. Проводить HR-аудит...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127706488
Менеджер по подбору персонала/HR-менеджер,350000 - 500000 KZT,Астана,Shashlikow,18-11-2025 08:50:26,"Опыт работы HR-менеджером или рекрутером от 1 года (желательно в общепите. Ритейле, HoReCa). Понимание специфики подбора персонала в рестораны...","Подбор персонала. Поиск и подбор сотрудников: повара, бариста, официанты, кассиры, администраторы и т.д. Размещение вакансий, работа с site.kz, hh.kz...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127811368
Менеджер по подбору персонала,,Алматы,Chaikhana NAVAT ( Чайхана НАВАТ),20-11-2025 08:45:26,Работать в успешной команде и видеть свои результаты. Умение работать в поисковых сайтах HH.kz и тд. Умение работать в программе...,"Поиск и привлечение лучших кандидатов для компании. Проведение собеседований, оценка и отбор кандидатов на основе профессиональных качеств и критериев компании. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127899030
Рекрутер,,Астана,DOSPartner,31-10-2025 19:35:35,Коммуникабельность и уверенность в общении. Готовность к активным звонкам и взаимодействию с кандидатами. Владение деловым этикетом и грамотная письменная речь. ,Размещение вакансий и активный поиск кандидатов на hh.ru и других площадках. Изучение портрета кандидата и подбор резюме по заданным критериям. ,"{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127195978
Менеджер по подбору персонала (Рекрутер),,Хромтау,ШАХТБАУ Казахстан,17-11-2025 11:14:20,соблюдает порядок по безопасности и охране труда и пожарной безопасности.,внедряет и развивает системы и процессы найма персонала. - осуществляет активный поиск персонала. - производит поиск требуемых кандидатов посредством собственных информационных баз...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127770935
Менеджер по подбору персонала / рекрутер,600000 KZT,Астана,Anna Chernenko Systems,15-11-2025 16:24:07,"Опыт работы в подборе персонала от 2 лет, желательно в сфере HoReCa, гостиничного или сервисного бизнеса. Навыки активного поиска и...","Ведение полного цикла рекрутинга: от анализа потребности до выхода кандидата на работу. Размещение вакансий на профильных площадках, активный поиск и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127743870
Помощник HR/Рекрутер,170000 - 230000 KZT,Алматы,UNIGATE,20-11-2025 09:49:22,"Владение казахским и русским языками в совершенстве. Уверенный пользователь ПК и наличие ноутбука. Высокий уровень эмпатии, коммуникабельности и ответственности. ","Unigate - компания, задающая новый стандарт подготовки абитуриентов к поступлению в зарубежные вузы. Помощь в подборе и адаптации новых сотрудников. ","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/127763810
Специалист по кадровому делопроизводству и подбору персонала,400000 - 400000 KZT,Алматы,Управляющая Компания Birlik Almaty,20-11-2025 07:31:36,Опыт работы в кадровом делопроизводстве от 1 года. Навыки подбора персонала — будет преимуществом. Знание Трудового кодекса РК и нормативной базы. ,"Полное ведение КДП (прием, увольнение, переводы, отпуска, больничные). Оформление и ведение трудовых договоров, дополнительных соглашений, приказов. Ведение личных дел, трудовых...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127755341
HR-менеджер по подбору персонала,,Алматы,Ресурс Плюс KZ,19-11-2025 08:41:28,Умение работать с большим потоком вакансий. Грамотная поставленная речь. Опыт работы на аналогичной должности.,"Ведение полного цикла подбора. Активный поиск кандидатов через все доступные ресурсы. Проведение телефонных, онлайн-интервью и интервью в офисе. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127853827
Менеджер по подбору персонала (рекрутер),,Алматы,"Тануки, Японский ресторан",20-11-2025 08:50:08,Опыт работы в подборе персонала от 2-х лет. Обязательное владение грамотной устной и письменной речью на казахском и русском...,Размещение открытых вакансий. Прием входящих звонков и совершение исходящих по вакансиям на русском и казахском языке. Разбор откликов. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127899189
Специалист по подбору персонала,,Алматы,AMS-Kazakhstan ( AV GROUP),18-11-2025 13:49:58,Опыт работы в подборе персонала от 1–3 лет. Понимание современных методов рекрутинга. Умение работать в режиме многозадачности. ,"Полный цикл подбора персонала: от сбора заявки до выхода кандидата. Поиск и привлечение специалистов рабочих, инженерных и офисных направлений. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127830745
