title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Junior/Middle Java Software Engineer,,Алматы,Kaspi.kz,19-11-2025 14:38:11,"Опыт работы от 1 года и выше. Опыт работы с Java (или jBPM, упрощённой Java-средой). Понимание принципов BPMN, проектирования...","Проектирование, моделирование и разработка бизнес-процессов в BPMN-системах (jBPM, собственный движок, Camunda). Настройка логики процессов и интеграция с внутренними...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127876601
Senior Backend Software Developer (Java / Go),,Алматы,Неткрэкер Текнолоджи Казахстан,19-11-2025 09:32:05,"5 - 10 years of experience as a <highlighttext>software</highlighttext> developer. Excellent Java or Golang knowledge: language fundamentals, memory model, concurrency patterns...","As part of Netcracker Cloud Platform, develop variety of cloud backend applications and services. Design and implement complex elements of...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127856371
Инженер программного обеспечения,281000 KZT,Петропавловск,Северо-Казахстанская Распределительная Электросетевая Компания,17-11-2025 14:45:35,"Высшее/среднее/специальное инженерно-техническое образовани. Знание VB.NET, SQL92. Умение читать (понимать) технический английский язык. Обучаемость, коммуникабельность, ответственность.",Разработка и сопровождение программного кода.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127787970
Software Engineer/Инженер-программист,,Алматы,Техинвест проект,20-11-2025 12:21:41,Высшее образование. Опыт работы на аналогичной должности от 2-х лет. Умение эффективно взаимодействовать в команде. Опыт работы с Fiber...,Разрабатывать микросервисы на Go. Проектировать REST и gRPC API. Оптимизировать производительность систем. Писать unit тесты.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127912466
Staff Software Architect (Java),,Алматы,Emphasoft,18-11-2025 12:09:11,"Опыт работы на позициях высшего технического лидерства (Distinguished <highlighttext>Engineer</highlighttext>, Chief Architect, Principal Architect, VPA <highlighttext>Engineering</highlighttext> и т.п.) в сложной...","Техническое руководство и контроль Обеспечивать высший уровень технического надзора за всей архитектурой, проектированием и реализацией ПО в компании. ","{'id': 'remote', 'name': 'Удаленная работа'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127825017
Embedded Software Engineer / Инженер-программист встраиваемых систем,,Астана,Ghalam,13-11-2025 08:08:18,Высшее техническое образование. Опыт работы по специальности не менее 3 лет. Знание языков программирования С/С++. Знание стандартных механизмов работы...,Разработка отказоустойчивого ПО встраиваемых систем реального времени под Linux/QNX. Разработка и отладка драйверов устройств для процессоров ARM. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127614532
Тестировщик программного обеспечения (QA Engineer),,Алматы,Мук-Компьютерс,17-11-2025 21:20:55,"Высшее образование. Опыт работы от 3-х лет. Знание языков: русский – свободное владение, английский – средний. Опыт работы в QA Automation...","Тестирование веб-интерфейса платформы. Выполнение manual тестирования: проверка функциональности, UI/UX, интеграций, API, регрессионное тестирование. Разработка и поддержка автоматизированных тестов...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127246401
Инженер программного обеспечения,240000 - 250000 KZT,Петропавловск,СЕВКАЗЭНЕРГО,18-11-2025 13:11:31,"Опыт работы не менее 2-х лет по профилю или участие в реальных проектах. Знание VB.NET, SQL92. ",Разработка и сопровождение программного кода. Поддержка пользователей.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127828616
Golang Software Engineer (только Казахстан),,Алматы,Vention Development,27-10-2025 14:39:46,"3–5 years of backend development experience with Golang. Strong knowledge of PostgreSQL (schemas, indexing, query optimization). Experience with AWS...","Design, develop, and maintain backend services using Golang in a microservices architecture. Build APIs for transaction management, chargeback monitoring, and...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127000378
Senior Software Инженер (Java),,Алматы,"Beeline, ТМ",10-11-2025 09:12:55,"Знание алгоритмов, структур данных, паттернов (MVC, SOLID, DRY и др.). Опыт с Java (Spring, Hibernate), микросервисами, RDBMS и NoSQL. ","Beeline Shop — e-commerce платформа для продажи мобильных устройств с возможностью покупки смартфона с тарифом Beeline, как за наличные, так...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/127444232
Java Software Engineer,,Алматы,Рекрутинговое агентство Fin Career Lab,12-11-2025 12:01:40,Опыт коммерческой разработки от 2–3 лет. Уверенное знание Java 11+. Опыт работы с Spring Boot 3.x (включая...,"Разработка и поддержка REST и SOAP API на Java + Spring Boot. Интеграция с внешними системами по SOAP, включая обработку...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/127576351
Middle/Senior Backend Software Engineer (NestJS / Node.js),,Алматы,INVESTBANQ TECH LAB LIMITED,22-10-2025 10:56:33,3 + years building production back‑ends in Node.js / TypeScript (preferably NestJS). Deep SQL skills with PostgreSQL; you know when...,"Work closely with product, QA, and front‑end team (React + Next.js). Review code, share knowledge, and raise the <highlighttext>engineering</highlighttext>...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126812513
Lead C++ Software Engineer (Gameplay),,Астана,Playrix,31-10-2025 15:56:37,"Опыт разработки коммерческих проектов на С++ и/или Unity не менее 3 лет. Опыт разработки проектов, выпущенных в production. ","Фичевое: разработка событий и мини-игр с нуля (от различных соревнований до мини-игр типа Merge). Техническое: оптимизация, поддержка технической...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/92964515
Middle Software Engineer (Gameplay),,Астана,Playrix,27-10-2025 22:33:11,Опыт разработки коммерческих игровых проектов на C++ и/или Unity от 1 года. Опыт верстки внутриигровых интерфейсов: создание сложных окон...,"Верстка внутриигровых интерфейсов (60–70% задач). Подключение и настройка UI-анимаций, эффектов, звуков и хаптика. Интеграция логики и скриптование фичей. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/123397043
Senior Power BI Software Engineer,,Астана,"Epam Kazakhstan (Эпам Казахстан),ТОО",22-10-2025 09:26:41,5+ years of hands-on experience with Power BI. Knowledge of Python. Proficiency in concepts of Data Analytics and...,"Liaise with the Product owner, collect requirements, and facilitate demo sessions. <highlighttext>Engineer</highlighttext> and implement data models, and conduct data preparation...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/125585477
Software Functional Testing Intern,,Астана,"Epam Kazakhstan (Эпам Казахстан),ТОО",05-11-2025 12:28:44,English level from B1 (Intermediate) and higher. Familiarity with the <highlighttext>software</highlighttext> development & testing life cycle and Agile frameworks. ,"Solid knowledge of functional testing theory (Test Artifacts; Test Methods, Types and Levels; Main Testing Terms; Test Planning and Analysis...","{'id': 'remote', 'name': 'Удаленная работа'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/124575597
Lead Unity Software Engineer (Gameplay),,Астана,Playrix,06-11-2025 18:21:34,"Опыт разработки коммерческих проектов на С++ и/или Unity не менее 3 лет. Опыт разработки проектов, выпущенных в production. ","Фичевое: разработка событий и мини-игр с нуля (от различных соревнований до мини-игр типа Merge). Техническое: оптимизация, поддержка технической...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/107216642
